City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Homer,US,2021-02-07 08:46:53,59.6425,-151.5483,21.2,86,1,6.67
137,Tiksi,RU,2021-02-07 08:39:42,71.6872,128.8694,-26.27,84,100,6.22
138,Mukhen,RU,2021-02-07 08:48:46,48.1,136.1,-4.41,91,100,2.55
139,South Venice,US,2021-02-07 08:48:46,27.0531,-82.4243,70.0,100,90,13.8
140,Sakakah,SA,2021-02-07 08:40:42,29.9697,40.2064,55.4,50,0,4.61
141,Nouadhibou,MR,2021-02-07 08:40:01,20.931,-17.0347,59.0,77,0,19.57
142,Saint-Louis,SN,2021-02-07 08:48:46,16.3333,-15.0,57.2,67,0,2.3
143,Coihaique,CL,2021-02-07 08:48:23,-45.5752,-72.0662,51.8,76,0,3.44
144,Price,US,2021-02-07 08:48:47,39.5994,-110.8107,42.8,28,1,16.11
145,San Francisco,US,2021-02-07 08:48:47,37.7749,-122.4194,52.0,81,1,4.61
146,Tifton,US,2021-02-07 08:48:47,31.4505,-83.5085,42.8,100,90,4.61
147,Jamestown,US,2021-02-07 08:38:00,42.097,-79.2353,17.6,57,1,8.05
148,Chokurdakh,RU,2021-02-07 08:39:45,70.6333,147.9167,-27.17,84,0,5.06
149,Vanavara,RU,2021-02-07 08:48:47,60.34,102.2797,20.62,97,100,9.37
150,Potamia,GR,2021-02-07 08:48:47,40.7163,24.7286,55.4,88,20,3.44
151,Smithers,CA,2021-02-07 08:45:08,54.7804,-127.1743,15.8,79,90,10.36
152,Lorengau,PG,2021-02-07 08:40:17,-2.0226,147.2712,82.63,80,94,6.85
153,Bredasdorp,ZA,2021-02-07 08:39:37,-34.5322,20.0403,69.8,68,100,5.75
154,Noumea,NC,2021-02-07 08:35:40,-22.2763,166.4572,80.01,100,75,2.3
155,Saskylakh,RU,2021-02-07 08:39:44,71.9167,114.0833,-39.23,78,24,10.22
156,Champerico,GT,2021-02-07 08:48:48,14.3,-91.9167,61.0,89,0,5.01
157,Lebu,CL,2021-02-07 08:39:56,-37.6167,-73.65,57.47,92,93,4.85
158,Pemangkat,ID,2021-02-07 08:48:48,1.1667,108.9667,79.07,84,100,12.48
159,Ixtapa,MX,2021-02-07 08:48:49,20.7,-105.2,66.0,91,1,1.61
160,Cabo San Lucas,MX,2021-02-07 08:35:27,22.8909,-109.9124,60.01,85,42,1.01
161,Chegdomyn,RU,2021-02-07 08:48:49,51.1167,133.0167,-7.51,88,100,1.45
162,Aykhal,RU,2021-02-07 08:48:49,66.0,111.5,-22.14,85,100,7.78
163,Wamba,NG,2021-02-07 08:48:49,8.9333,8.6,87.12,14,99,4.63
164,Kolokani,ML,2021-02-07 08:48:49,13.5728,-8.0339,72.37,25,99,15.9
165,Verkhnevilyuysk,RU,2021-02-07 08:40:22,63.4453,120.3167,-19.61,87,78,6.71
166,Manokwari,ID,2021-02-07 08:48:49,-0.8667,134.0833,80.58,80,98,1.05
167,Barcelos,PT,2021-02-07 08:48:49,41.5388,-8.6151,41.0,87,40,10.36
168,Prieska,ZA,2021-02-07 08:48:49,-29.6641,22.7474,88.86,26,0,16.2
169,Ende,ID,2021-02-07 08:48:50,-8.8432,121.6623,83.19,71,74,2.91
170,Saint George,US,2021-02-07 08:36:45,37.1041,-113.5841,41.0,38,1,4.61
171,Kalmunai,LK,2021-02-07 08:40:21,7.4167,81.8167,81.97,78,43,15.32
172,Garachine,PA,2021-02-07 08:48:50,8.0647,-78.3628,77.58,87,100,6.49
173,Sambava,MG,2021-02-07 08:48:50,-14.2667,50.1667,83.32,69,66,7.74
174,Puerto Penasco,MX,2021-02-07 08:46:15,31.3167,-113.5333,63.54,43,0,5.5
175,Murray Bridge,AU,2021-02-07 08:45:30,-35.1167,139.2667,61.0,73,41,15.35
176,Lavrentiya,RU,2021-02-07 08:40:11,65.5833,-171.0,-12.41,78,0,4.38
177,Katsuura,JP,2021-02-07 08:39:42,35.1333,140.3,57.0,58,0,1.01
178,Graham,US,2021-02-07 08:47:48,47.0529,-122.2943,44.01,75,90,10.36
179,Katima Mulilo,NA,2021-02-07 08:48:51,-17.5,24.2667,82.45,62,90,8.61
180,Payo,ID,2021-02-07 08:48:51,-3.7508,103.6372,81.37,87,100,3.98
181,Pangnirtung,CA,2021-02-07 08:39:48,66.1451,-65.7125,21.56,80,21,4.45
182,Saint-Philippe,RE,2021-02-07 08:39:44,-21.3585,55.7679,87.8,62,0,11.5
183,Pochutla,MX,2021-02-07 08:48:51,15.7432,-96.4661,73.99,88,1,3.4
184,Luba,GQ,2021-02-07 08:48:51,3.4568,8.5547,86.0,74,20,6.91
185,San Cristobal,VE,2021-02-07 08:46:22,7.7669,-72.225,65.93,85,93,2.59
186,Butaritari,KI,2021-02-07 08:39:34,3.0707,172.7902,81.43,80,75,19.06
187,Gold Coast,AU,2021-02-07 08:48:52,-28.0,153.4333,81.0,83,75,3.44
188,Otaru,JP,2021-02-07 08:48:52,43.1894,141.0022,24.8,93,75,14.97
189,Faanui,PF,2021-02-07 08:39:50,-16.4833,-151.75,82.33,71,31,11.18
190,Tokmak,UA,2021-02-07 08:48:52,47.2514,35.7058,25.18,71,27,8.01
191,Charters Towers,AU,2021-02-07 08:40:05,-20.1,146.2667,85.39,62,100,13.89
192,Port Augusta,AU,2021-02-07 08:48:52,-32.5,137.7667,71.6,64,0,23.02
193,Alta Floresta,BR,2021-02-07 08:48:52,-9.8756,-56.0861,70.03,99,100,3.0
194,Tilichiki,RU,2021-02-07 08:48:52,60.4667,166.1,14.67,89,100,13.33
195,Bethel,US,2021-02-07 08:39:36,41.3712,-73.414,27.0,79,1,2.82
