City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Alyangula,AU,80.6,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
259,Rio Grande,BR,78.8,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
265,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
267,Puerto Maldonado,PE,89.06,broken clouds,-12.6,-69.1833,Wasai Hotel
271,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
275,Le Port,RE,77.0,overcast clouds,-20.9373,55.2919,Villa Maido
284,Pradopolis,BR,84.2,few clouds,-21.3594,-48.0656,Palace Hotel - Pradópolis
285,Hambantota,LK,76.82,clear sky,6.1241,81.1185,Bungalow 63
288,Sao Geraldo Do Araguaia,BR,78.15,broken clouds,-6.4006,-48.555,SOLAR DO BARROSO
290,Mahanoro,MG,80.28,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
295,Paramaribo,SR,81.0,scattered clouds,5.8667,-55.1667,Kekemba Resort Paramaribo
297,Tocache,PE,86.07,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
299,Saint-Georges,GD,80.6,broken clouds,12.0564,-61.7485,Siesta Hotel
306,Mogadishu,SO,77.72,clear sky,2.0371,45.3438,Hotel Juba
307,Noumea,NC,79.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
311,Sorong,ID,78.6,overcast clouds,-0.8833,131.25,The Waigo Hotel
313,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
314,Isabela,PH,75.2,broken clouds,6.7085,121.9711,Isawad Resort
318,Bartica,GY,80.6,scattered clouds,6.4,-58.6167,Relax Inn Hotel
325,Cockburn Town,TC,80.6,few clouds,21.4612,-71.1419,Osprey Beach Hotel
330,Camocim,BR,81.99,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
332,Poum,NC,79.43,broken clouds,-20.2333,164.0167,Gîte kajeon
