City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Villaviciosa,ES,43.4813,-5.4357,54.0,74,100,4.9,light rain
154,Bermejo,AR,-32.8833,-68.8,73.4,78,75,12.66,broken clouds
155,Verkhoyansk,RU,67.5447,133.385,-32.78,81,17,2.3,few clouds
156,Henties Bay,NA,-22.116,14.2845,64.99,88,82,7.0,broken clouds
157,Tucupita,VE,9.0622,-62.051,73.42,92,89,4.63,overcast clouds
158,Lincoln,US,40.8,-96.667,5.0,78,90,12.66,light snow
159,Malynivka,UA,49.8167,36.7333,10.4,67,0,2.24,clear sky
160,Tchibanga,GA,-2.85,11.0333,72.3,97,92,1.63,light rain
161,Ouadda,CF,8.0777,22.4007,62.24,29,88,6.67,overcast clouds
162,Vaitape,PF,-16.5167,-151.75,81.52,76,2,12.28,clear sky
163,Anadyr,RU,64.75,177.4833,10.4,52,100,22.37,snow
164,Koutiala,ML,12.3917,-5.4642,74.12,20,74,11.63,broken clouds
165,Nome,US,64.5011,-165.4064,1.0,84,1,3.56,clear sky
166,Coffs Harbour,AU,-30.3,153.1333,78.8,61,40,17.27,scattered clouds
167,Westport,US,41.1415,-73.3579,32.0,86,75,8.05,broken clouds
168,Yeppoon,AU,-23.1333,150.7333,86.0,66,20,5.75,few clouds
169,Fatehgarh,IN,27.3667,79.6333,51.06,67,0,4.74,clear sky
170,Klaksvik,FO,62.2266,-6.589,35.6,60,75,18.41,broken clouds
171,Ilhabela,BR,-23.7781,-45.3581,73.15,70,88,2.93,overcast clouds
172,La Grande,US,45.3246,-118.0877,39.0,59,92,4.0,overcast clouds
173,Vostok,RU,46.4856,135.8833,-10.88,90,100,3.94,overcast clouds
174,Ulaangom,MN,49.9811,92.0667,-6.48,90,100,1.05,overcast clouds
175,Lappeenranta,FI,61.0587,28.1887,12.0,85,90,7.34,overcast clouds
176,Baruun-Urt,MN,46.6806,113.2792,-3.96,88,62,9.69,broken clouds
177,Upernavik,GL,72.7868,-56.1549,18.28,79,12,4.36,few clouds
178,Athabasca,CA,54.7169,-113.2854,-14.8,58,60,3.44,broken clouds
179,Agadez,NE,19.75,10.25,64.44,23,96,6.58,overcast clouds
180,Careiro Da Varzea,BR,-3.2003,-59.8119,77.0,88,40,3.44,light rain
181,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,10.36,broken clouds
182,Port Elizabeth,ZA,-33.918,25.5701,64.99,90,72,1.01,broken clouds
183,Touros,BR,-5.1989,-35.4608,80.6,83,20,12.66,few clouds
184,Amga,RU,60.8953,131.9608,-32.58,82,23,1.25,few clouds
185,Pisco,PE,-13.7,-76.2167,73.4,78,75,9.22,broken clouds
186,Lucapa,AO,-8.4192,20.7447,65.23,91,100,3.11,overcast clouds
187,Sibu,MY,2.3,111.8167,75.2,94,40,2.3,scattered clouds
188,Bethel,US,41.3712,-73.414,28.4,86,40,3.44,scattered clouds
189,Petrozavodsk,RU,61.7849,34.3469,6.8,72,68,11.18,broken clouds
190,San Quintin,MX,30.4833,-115.95,63.57,59,0,10.76,clear sky
191,Waw,SS,7.7029,27.9953,62.98,28,98,5.55,overcast clouds
192,Sovetskiy,RU,61.3614,63.5842,-14.4,89,100,6.58,light snow
193,Fort Nelson,CA,58.8053,-122.7002,-14.8,70,75,10.36,light snow
194,Srednekolymsk,RU,67.45,153.6833,-12.84,83,67,1.63,broken clouds
195,Zhigalovo,RU,54.8097,105.1578,13.44,91,90,2.01,overcast clouds
196,Veraval,IN,20.9,70.3667,69.1,34,0,11.07,clear sky
197,Sur,OM,22.5667,59.5289,63.36,72,0,3.96,clear sky
198,Houma,US,29.5958,-90.7195,55.99,71,1,8.05,clear sky
199,Leningradskiy,RU,69.3833,178.4167,-14.71,85,0,8.19,clear sky
200,Pizarro,CO,4.9533,-77.366,79.66,88,100,2.91,light rain
201,Bowen,AU,-20.0167,148.2333,84.2,79,75,1.14,broken clouds
202,Solnechnyy,RU,50.7214,136.6319,0.54,89,100,0.85,overcast clouds
203,Humaita,BR,-7.5061,-63.0208,76.82,91,90,2.59,light rain
204,Sao Desiderio,BR,-12.3633,-44.9733,68.58,93,100,2.57,overcast clouds
205,Kholm,RU,59.2667,32.85,7.86,96,99,4.0,overcast clouds
206,Namibe,AO,-15.1961,12.1522,72.32,78,85,5.1,overcast clouds
207,Pascagoula,US,30.3658,-88.5561,55.4,58,1,8.05,clear sky
208,Vitim,RU,59.4511,112.5578,15.3,95,100,9.53,light snow
209,Ocos,GT,14.5094,-92.1933,89.6,55,1,8.05,clear sky
210,Kaa-Khem,RU,51.6833,94.7333,3.47,88,72,1.5,broken clouds
211,Kodinsk,RU,58.6881,99.1844,23.88,96,88,5.91,overcast clouds
212,Buala,SB,-8.145,159.5921,84.94,73,77,8.75,light rain
213,Umm Lajj,SA,25.0213,37.2685,70.38,33,0,19.48,clear sky
214,Oranjemund,NA,-28.55,16.4333,62.33,78,0,19.48,clear sky
215,Nanortalik,GL,60.1432,-45.2371,30.6,87,90,16.64,overcast clouds
216,Geraldton,AU,-28.7667,114.6,71.6,73,75,13.8,broken clouds
217,Ruwi,OM,23.5996,58.5507,68.0,68,0,3.44,clear sky
218,Pajapan,MX,18.25,-94.7,78.8,65,40,11.5,scattered clouds
219,Longyearbyen,SJ,78.2186,15.6401,14.0,44,20,23.02,few clouds
220,Mount Gambier,AU,-37.8333,140.7667,59.0,67,90,13.8,overcast clouds
221,Norman Wells,CA,65.282,-126.8329,-23.8,76,40,3.44,scattered clouds
222,Nuuk,GL,64.1835,-51.7216,30.2,47,20,16.11,few clouds
223,Katsuura,JP,35.1333,140.3,46.4,53,40,11.5,scattered clouds
224,Kariba,ZW,-16.5167,28.8,71.31,93,100,3.65,overcast clouds
225,Copiapo,CL,-27.3667,-70.3333,64.4,68,0,11.5,clear sky
226,Lavrentiya,RU,65.5833,-171.0,-7.96,86,0,7.23,clear sky
227,Oyama,JP,36.3,139.8,45.0,69,75,3.44,broken clouds
228,Chokurdakh,RU,70.6333,147.9167,-17.7,88,100,7.94,overcast clouds
229,Baculin,PH,7.4525,126.5842,77.61,84,100,4.72,heavy intensity rain
230,Port Alfred,ZA,-33.5906,26.891,66.0,96,97,3.0,light rain
